Module,Chức năng chính,Sprint,Độ tin cậy,BE (h),FE (h),INT (h),QA (h),Tổng (h),Ghi chú
M0 — Core & Nền tảng,Hạ tầng & Auth (CI/CD + RBAC + audit nền),Sprint 1,Cao,35,25,5,15,80,Project setup + 5 role
M0 — Core & Nền tảng,Data model 3 lớp (Lifecycle/Campaign/Tier),Sprint 1,Cao,30,5,5,10,50,Schema + migration tooling
M0 — Core & Nền tảng,Creator 360 Profile,Sprint 1,Cao,25,40,10,10,85,Trang hồ sơ hợp nhất
M0 — Core & Nền tảng,Per-Care Queue,Sprint 1,Cao,15,25,5,5,50,My Creators / My Tasks
M0 — Core & Nền tảng,SLA Timer Engine,Sprint 1,Cao,20,10,5,5,40,Cấu hình SLA theo tier + cảnh báo
M0 — Core & Nền tảng,Relationship Vault,Sprint 1,Cao,15,15,5,5,40,Ghi tương tác + bàn giao owner
M1 — Sourcing & Qualify,Lead Inbox,Sprint 1,Cao,18,15,5,7,45,Thu lead đa nguồn + dedup
M1 — Sourcing & Qualify,Platform Tagging,Sprint 1,Cao,10,12,3,5,30,Gắn nền tảng + tier sơ bộ
M1 — Sourcing & Qualify,Creator Scoring,Sprint 1,Cao,14,10,3,5,32,Chấm điểm + lý do
M1 — Sourcing & Qualify,VIP Auto-flag,Sprint 1,Cao,8,8,4,3,23,Rẽ nhánh VIP Candidate tự động
M1 — Sourcing & Qualify,Sourcing Automation,Sprint 2,Rough,70,50,50,25,195,Crawl social + sourcing inbox
M2 — Outreach Console,Outreach Kit,Sprint 2,Rough,18,20,5,8,51,Soạn offer/USP/CTA + template
M2 — Outreach Console,Multi-channel Contact,Sprint 2,Rough,25,20,30,10,85,Tích hợp Zalo/email
M2 — Outreach Console,Response Tracking,Sprint 2,Rough,15,15,5,7,42,Trạng thái phản hồi
M2 — Outreach Console,Follow-up Reminder,Sprint 2,Rough,17,15,5,5,42,Nhắc theo SLA
M3 — Onboarding & Setup,Application Review,Sprint 1,Cao,15,15,5,7,42,Duyệt hồ sơ + lịch sử
M3 — Onboarding & Setup,Platform Setup Checklist,Sprint 1,Cao,12,15,8,6,41,Checklist Shopee/TikTok/TAP/Meta
M3 — Onboarding & Setup,Payout & Tax Profile,Sprint 1,Cao,16,13,7,7,43,CCCD/bank/thuế
M3 — Onboarding & Setup,MCN/TAP Join Tracking,Sprint 1,Cao,12,12,5,5,34,3 cờ + mapping Publisher ID
M5 — Campaign & Activation,Offer Setup,Sprint 1,Cao,20,18,5,8,51,Tạo campaign/TAP offer
M5 — Campaign & Activation,Task Assignment,Sprint 1,Cao,15,15,5,6,41,Giao sản phẩm/deal/guideline
M5 — Campaign & Activation,Sample Tracking,Sprint 1,Cao,10,12,3,5,30,Trạng thái sample
M5 — Campaign & Activation,Content Tracking,Sprint 1,Cao,15,15,7,6,43,Hiển thị trạng thái — không build review
M6 — Performance Dashboard,Multi-source Sync,Sprint 2,Rough,35,20,40,15,110,Gom data Shopee/TikTok/TAP/Meta
M6 — Performance Dashboard,Care Action,Sprint 2,Rough,15,20,5,7,47,Phân loại hành động chăm
M6 — Performance Dashboard,Early Warning,Sprint 2,Rough,15,15,5,5,40,Cảnh báo inactive/trễ/sai
M6 — Performance Dashboard,Scale Decision,Sprint 2,Rough,10,12,5,3,30,Đề xuất Ads/GMV Max
M6 — Performance Dashboard,AM KPI Dashboard,Sprint 2,Rough,15,28,5,5,53,KPI per AM + leaderboard
M4 — Channel Strategy,Channel Audit,Sprint 2,Rough,15,20,8,7,50,Ghi nhận kênh creator
M4 — Channel Strategy,Goal Setting,Sprint 2,Rough,15,18,7,7,47,Mục tiêu + kế hoạch 30 ngày VIP
M4 — Channel Strategy,Product / Deal List,Sprint 2,Rough,15,17,5,6,43,Gợi ý ngành hàng + angle
M7 — Tiering & Loyalty,Commission Confirm,Sprint 1,Cao,20,12,8,7,47,Đối soát hoa hồng/bonus
M7 — Tiering & Loyalty,VIP Scoring,Sprint 1,Cao,25,23,7,8,63,Xác nhận tier chính thức
M7 — Tiering & Loyalty,Loyalty Plan,Sprint 2,Rough,20,20,8,7,55,Kế hoạch giữ chân
M7 — Tiering & Loyalty,Tier Review,Sprint 2,Rough,20,20,7,8,55,Review định kỳ tier
TỔNG SPRINT 1,,,,330,305,105,135,875,Độ tin cậy cao ±20%
TỔNG SPRINT 2,,,,320,310,190,125,945,Độ tin cậy rough ±40%
TỔNG DỰ ÁN,,,,650,615,295,260,1820,Chưa cộng buffer rủi ro 15%
TỔNG + BUFFER 15%,,,,,,,,2093,Con số đưa vào báo giá khởi tạo
